"(n, m)",P1,,P2,,
,BF,,AA,,
,Size,Time (in seconds),Size,AF,Time (in seconds)
"20,20",8,13.79668000,14,1.750,0.00005000
"20,25",9,15.16628000,14,1.556,0.00006000
"20,30",10,15.99083000,14,1.400,0.00006000
"20,35",11,17.50172000,14,1.273,0.00009000
"20,40",11,17.70178000,16,1.455,0.00009000
"20,45",11,18.44633000,16,1.455,0.00020000
"20,50",12,19.23374000,16,1.333,0.00010000
"20,55",13,20.75475000,18,1.385,0.00010000
"20,60",13,20.95024000,18,1.385,0.00010000
"20,65",13,21.88433000,18,1.385,0.00012000
"20,70",13,22.14027000,18,1.385,0.00013000
"20,75",13,22.57450000,18,1.385,0.00015000
"20,80",14,24.05817000,18,1.286,0.00017000
"20,85",14,23.60359000,18,1.286,0.00013000
"20,90",14,24.00149000,18,1.286,0.00013000
"20,95",14,24.64851000,18,1.286,0.00013000
"20,100",14,24.76438000,18,1.286,0.00013000
"20,105",14,24.89359000,18,1.286,0.00014000
"20,110",15,25.71350000,18,1.200,0.00014000
"20,115",15,26.00884000,18,1.200,0.00014000
"20,120",16,26.34220000,18,1.125,0.00014000
"20,125",16,26.70700000,18,1.125,0.00020000
"20,130",16,27.36491000,20,1.250,0.00018000
"20,135",17,27.98393000,20,1.176,0.00018000
"20,140",17,27.44608000,20,1.176,0.00018000
"20,145",17,28.01869000,20,1.176,0.00019000
"20,150",17,28.36634000,20,1.176,0.00019000
"20,155",17,29.04883000,20,1.176,0.00019000
"20,160",17,29.26807000,20,1.176,0.00019000
"20,165",17,29.48145000,20,1.176,0.00019000
"20,170",17,29.68275000,20,1.176,0.00024000
"20,175",17,30.64491000,20,1.176,0.00019000
"20,180",17,31.18652000,20,1.176,0.00020000
"20,185",18,31.74235000,20,1.111,0.00020000
"20,190",19,32.10674000,20,1.053,0.00044000
