"(n, m)",BF,,AA,,
,Size,Time (in seconds),Size,AF,Time (in seconds)
"20,20",8,13.70862000,14,1.750,0.00006000
"20,30",10,15.99782000,14,1.400,0.00006000
"20,40",11,17.66023000,16,1.455,0.00010000
"20,50",12,19.15887000,16,1.333,0.00010000
"20,60",13,21.13039000,18,1.385,0.00010000
"20,70",13,22.16803000,18,1.385,0.00012000
"20,80",14,23.46115000,18,1.286,0.00012000
"20,90",14,23.73673000,18,1.286,0.00013000
"20,100",14,24.51572000,18,1.286,0.00014000
"20,110",15,25.47653000,18,1.200,0.00014000
"20,120",16,26.07024000,18,1.125,0.00026000
"20,130",16,27.29238000,20,1.250,0.00019000
"20,140",17,27.64685000,20,1.176,0.00018000
"20,150",17,28.60085000,20,1.176,0.00019000
"20,160",17,29.12404000,20,1.176,0.00056000
"20,170",17,29.71475000,20,1.176,0.00029000
"20,180",17,31.06103000,20,1.176,0.00020000
"20,190",19,31.72125000,20,1.053,0.00060000
